CustomerID,CustomerName,Date of birth,Country
11000,Alice,13-02-1900,North America
11001,Bob,24-02-1900,Europe
11002,Charlie,06-03-1900,Asia
11003,Madhu,25-02-1900,North America
11004,Naveen,17-03-1900,Europe
11005,Hema,23-01-1900,Asia
11007,JON,17-03-1900,North America
11008,EUGENE,28-03-1900,Europe
11009,RUBEN,14-02-1900,Asia
11010,CHRISTY,06-03-1900,North America
11011,ELIZABETH,06-03-1900,Europe
11012,JULIO,17-03-1900,Asia
11013,MARCO,28-03-1900,North America
11014,ROBIN,14-02-1900,Europe
11015,SHANNON,06-03-1900,Asia
11016,JACQUELYN,06-03-1900,North America
11017,CURTIS,23-01-1900,Europe
11018,LAUREN,24-01-1900,Asia
11019,IAN,25-02-1900,North America
11020,SYDNEY,28-03-1900,Europe
11021,CHLOE,02-02-1900,Asia
11022,WYATT,14-02-1900,North America
11023,SHANNON,22-01-1900,Europe
11024,CLARENCE,23-01-1900,Asia
11025,LUKE,24-01-1900,North America
11026,JORDAN,13-02-1900,Europe
11027,DESTINY,24-02-1900,Asia
11028,ETHAN,06-03-1900,North America
11029,SETH,25-02-1900,Europe
11030,RUSSELL,17-03-1900,Asia
11031,ALEJANDRO,23-01-1900,North America
11032,HAROLD,17-03-1900,Europe
11033,JESSIE,28-03-1900,Asia
11034,JILL,14-02-1900,North America
11035,JIMMY,06-03-1900,Europe
11036,BETHANY,06-03-1900,Asia
11037,THERESA,17-03-1900,North America
11038,DENISE,28-03-1900,Europe
11039,JAIME,14-02-1900,Asia
11040,EBONY,06-03-1900,North America
11041,WENDY,06-03-1900,Europe
11042,JENNIFER,23-01-1900,Asia
11043,CHLOE,24-01-1900,North America
11044,DIANA,25-02-1900,Europe
11045,MARC,28-03-1900,Asia
11046,JESSE,02-02-1900,North America
11047,AMANDA,14-02-1900,Europe
11048,MEGAN,22-01-1900,Asia
11049,NATHAN,23-01-1900,North America
11050,ADAM,24-01-1900,Europe
11051,LEONARD,13-02-1900,Asia
11052,CHRISTINE,24-02-1900,North America
11053,JACLYN,06-03-1900,Europe
11054,JEREMY,25-02-1900,Asia
11055,CAROL,17-03-1900,North America
11056,ALAN,23-01-1900,Europe
11057,DANIEL,17-03-1900,Asia
11058,HEIDI,28-03-1900,North America
11059,ANA,14-02-1900,Europe
11060,DEANNA,06-03-1900,Asia
11061,GILBERT,06-03-1900,North America
11062,MICHELE,17-03-1900,Europe
11063,CARL,28-03-1900,Asia
11064,MARC,14-02-1900,North America
11065,ASHLEE,06-03-1900,Europe
11066,JON,06-03-1900,Asia
11067,TODD,23-01-1900,North America
11068,NOAH,24-01-1900,Europe
11069,ANGELA,25-02-1900,Asia
11070,CHASE,28-03-1900,North America
11071,JESSICA,02-02-1900,Europe
11072,GRACE,14-02-1900,Asia
11073,CALEB,22-01-1900,North America
11074,TIFFANY,23-01-1900,Europe
11075,CAROLYN,24-01-1900,Asia
11076,WILLIE,13-02-1900,North America
11077,LINDA,24-02-1900,Europe
11078,CASEY,06-03-1900,Asia
11079,AMY,25-02-1900,North America
11080,LEVI,17-03-1900,Europe
11081,FELICIA,23-01-1900,Asia
11082,BLAKE,17-03-1900,North America
11083,LEAH,28-03-1900,Europe
11084,GINA,14-02-1900,Asia
11085,DONALD,06-03-1900,North America
11086,DAMIEN,06-03-1900,Europe
11087,SAVANNAH,17-03-1900,Asia
11089,ANGELA,28-03-1900,North America
11090,ALYSSA,14-02-1900,Europe
11091,LUCAS,06-03-1900,Asia
11092,EMILY,06-03-1900,North America
11093,RYAN,23-01-1900,Europe
11094,TAMARA,24-01-1900,Asia
11095,ABIGAIL,25-02-1900,North America
11096,TREVOR,28-03-1900,Europe
11097,DALTON,02-02-1900,Asia
11098,CHERYL,14-02-1900,North America
11099,AIMEE,22-01-1900,Europe
11100,CEDRIC,23-01-1900,Asia
11101,CHAD,24-01-1900,North America
11102,ANDRES,13-02-1900,Europe
11103,EDWIN,24-02-1900,Asia
11104,MALLORY,06-03-1900,North America
11105,ADAM,25-02-1900,Europe
11106,LATASHA,17-03-1900,Asia
11107,ABBY,23-01-1900,North America
11108,JULIA,17-03-1900,Europe
11109,CASSIE,28-03-1900,Asia
11110,EDGAR,14-02-1900,North America
11111,CANDACE,06-03-1900,Europe
11112,JESSIE,06-03-1900,Asia
11113,BIANCA,17-03-1900,North America
11114,KARI,28-03-1900,Europe
11115,RUBEN,14-02-1900,Asia
11116,CURTIS,06-03-1900,North America
11117,MEREDITH,06-03-1900,Europe
11118,CRYSTAL,23-01-1900,Asia
11119,MICHEAL,24-01-1900,North America
11121,LESLIE,25-02-1900,Europe
11122,ALVIN,28-03-1900,Asia
11123,CLINTON,02-02-1900,North America
11124,APRIL,14-02-1900,Europe
11125,ALVIN,22-01-1900,Asia
11126,EVAN,23-01-1900,North America
11127,ORLANDO,24-01-1900,Europe
11128,BYRON,13-02-1900,Asia
11129,PHILIP,24-02-1900,North America
11130,ROSS,06-03-1900,Europe
11131,DANA,25-02-1900,Asia
11132,SHAUN,17-03-1900,North America
11133,JAN,23-01-1900,Europe
11134,SAMANTHA,17-03-1900,Asia
11135,JULIA,28-03-1900,North America
11136,CAROLINE,14-02-1900,Europe
11137,AMANDA,06-03-1900,Asia
11138,MELISSA,06-03-1900,North America
11139,ANGELA,17-03-1900,Europe
11140,LARRY,28-03-1900,Asia
11141,MARCUS,14-02-1900,North America
11142,BRIANNA,06-03-1900,Europe
11143,JASMINE,06-03-1900,Asia
11144,LAUREN,23-01-1900,North America
11145,TANYA,24-01-1900,Europe
11146,JAVIER,25-02-1900,Asia
11147,NICOLE,28-03-1900,North America
11148,EDUARDO,02-02-1900,Europe
11149,JONATHAN,14-02-1900,Asia
11150,EDWARD,22-01-1900,North America
11151,JASMINE,23-01-1900,Europe
11152,KARLA,24-01-1900,Asia
11153,ERNEST,13-02-1900,North America
11154,ROSS,24-02-1900,Europe
11155,THEODORE,06-03-1900,Asia
11156,RUSSELL,25-02-1900,North America
11157,MELINDA,17-03-1900,Europe
11158,JAMES,23-01-1900,Asia
11159,ANGELA,17-03-1900,North America
11160,MEGAN,28-03-1900,Europe
11161,HUNTER,14-02-1900,Asia
11162,MARIA,06-03-1900,North America
11163,HANNAH,06-03-1900,Europe
11164,JASON,17-03-1900,Asia
11165,BRIANNA,28-03-1900,North America
11166,MAURICE,14-02-1900,Europe
11167,EMILY,06-03-1900,Asia
11168,CHASE,06-03-1900,North America
11169,GABRIEL,23-01-1900,Europe
11170,DEVIN,24-01-1900,Asia
11171,JOCELYN,25-02-1900,North America
11172,ASHLEY,28-03-1900,Europe
11173,JASMINE,02-02-1900,Asia
11174,DAVID,14-02-1900,North America
11175,BRYCE,22-01-1900,Europe
11176,CAROL,23-01-1900,Asia
11177,JONATHAN,24-01-1900,North America
11178,GABRIELLE,13-02-1900,Europe
11179,SARAH,24-02-1900,Asia
11180,NICHOLAS,06-03-1900,North America
11181,LUIS,25-02-1900,Europe
11182,MASON,17-03-1900,Asia
11183,JOSE,23-01-1900,North America
11184,NATHAN,17-03-1900,Europe
11185,MOLLY,28-03-1900,Asia
11186,APRIL,14-02-1900,North America
11187,DEVIN,06-03-1900,Europe
11188,STEPHANIE,06-03-1900,Asia
11190,JASMINE,17-03-1900,North America
11191,MEGHAN,28-03-1900,Europe
11192,ASHLEY,14-02-1900,Asia
11193,SARAH,06-03-1900,North America
11194,JENNIFER,06-03-1900,Europe
11195,CATHERINE,23-01-1900,Asia
11196,CARSON,24-01-1900,North America
11197,KRISTI,25-02-1900,Europe
11198,JAMES,28-03-1900,Asia
11199,IAN,02-02-1900,North America
11200,JACQUELINE,14-02-1900,Europe
11201,MEGAN,22-01-1900,Asia
11202,ALFREDO,23-01-1900,North America
11203,ANDREA,24-01-1900,Europe
11205,BROOKE,13-02-1900,Asia
11206,JACQUELINE,24-02-1900,North America
11207,JASON,06-03-1900,Europe
11208,AMANDA,25-02-1900,Asia
11209,ALEXIA,17-03-1900,North America
11210,LUIS,23-01-1900,Europe
11211,ABBY,17-03-1900,Asia
11212,BLAKE,28-03-1900,North America
11213,DANIELLE,14-02-1900,Europe
11214,MARIA,06-03-1900,Asia
11215,ALLISON,06-03-1900,North America
11216,EDWARD,17-03-1900,Europe
11217,SAMANTHA,28-03-1900,Asia
11218,CHLOE,14-02-1900,North America
11219,STEPHANIE,06-03-1900,Europe
11220,CHARLES,06-03-1900,Asia
11221,ANA,23-01-1900,North America
11222,JASMINE,24-01-1900,Europe
11223,NATALIE,25-02-1900,Asia
11224,OLIVIA,28-03-1900,North America
11226,CHARLES,02-02-1900,Europe
11227,ERICA,14-02-1900,Asia
11228,NATHAN,22-01-1900,North America
11229,ALEXANDRA,23-01-1900,Europe
11230,HAILEY,24-01-1900,Asia
11231,TIFFANY,13-02-1900,North America
11232,SYDNEY,24-02-1900,Europe
11233,MARSHALL,06-03-1900,Asia
11234,ASHLEY,25-02-1900,North America
11235,ADRIAN,17-03-1900,Europe
11236,AMBER,23-01-1900,Asia
11237,DENNIS,17-03-1900,North America
11238,HAILEY,28-03-1900,Europe
11239,TODD,14-02-1900,Asia
11240,ANNA,06-03-1900,North America
11241,ANGEL,06-03-1900,Europe
11242,JEREMY,17-03-1900,Asia
11243,CLARENCE,28-03-1900,North America
11244,MAYRA,14-02-1900,Europe
11245,LATOYA,06-03-1900,Asia
11247,ANNE,06-03-1900,North America
11248,LISA,23-01-1900,Europe
11249,LARRY,24-01-1900,Asia
11250,ROBIN,25-02-1900,North America
11251,ALEXIS,28-03-1900,Europe
11252,RICKY,02-02-1900,Asia
11253,CLAUDIA,14-02-1900,North America
11254,TRISTAN,22-01-1900,Europe
11255,CINDY,23-01-1900,Asia
11256,SHANNON,24-01-1900,North America
11257,XAVIER,13-02-1900,Europe
11258,NICHOLAS,24-02-1900,Asia
11259,JOSE,06-03-1900,North America
11260,JOHNATHAN,25-02-1900,Europe
11261,COLIN,17-03-1900,Asia
11262,KATELYN,23-01-1900,North America
11263,JACQUELINE,17-03-1900,Europe
11264,XAVIER,28-03-1900,Asia
11265,VICTORIA,14-02-1900,North America
11266,KATELYN,06-03-1900,Europe
11267,STEPHANIE,06-03-1900,Asia
11268,JENNIFER,17-03-1900,North America
11269,TRINITY,28-03-1900,Europe
11270,EDUARDO,14-02-1900,Asia
11271,ELIZABETH,06-03-1900,North America
11272,TAYLOR,06-03-1900,Europe
11273,DAVID,23-01-1900,Asia
11274,KATELYN,24-01-1900,North America
11275,RYAN,25-02-1900,Europe
11276,ROBERT,28-03-1900,Asia
11277,DANIELLE,02-02-1900,North America
11278,LAUREN,14-02-1900,Europe
11279,NATHAN,22-01-1900,Asia
11280,KYLE,23-01-1900,North America
11281,JENNY,24-01-1900,Europe
11282,NANCY,13-02-1900,Asia
11283,CHARLES,24-02-1900,North America
11284,JONATHAN,06-03-1900,Europe
11285,AMANDA,25-02-1900,Asia
11286,ROBERT,17-03-1900,North America
11287,MEGAN,23-01-1900,Europe
11288,CHRISTIAN,17-03-1900,Asia
11289,ARTURO,28-03-1900,North America
11290,THERESA,14-02-1900,Europe
11291,JEREMY,06-03-1900,Asia
11292,HUNTER,06-03-1900,North America
11293,HENRY,17-03-1900,Europe
11294,CINDY,28-03-1900,Asia
11295,MARIA,14-02-1900,North America
11296,KATELYN,06-03-1900,Europe
11297,JENNA,06-03-1900,Asia
11298,SETH,23-01-1900,North America
11299,LUKE,24-01-1900,Europe
11300,DALTON,25-02-1900,Asia
11301,TAYLOR,28-03-1900,North America
11302,HALEY,02-02-1900,Europe
11303,NOAH,14-02-1900,Asia
11304,JON,22-01-1900,North America
11305,ORLANDO,23-01-1900,Europe
11306,FERNANDO,24-01-1900,Asia
11307,CAMERON,13-02-1900,North America
11308,SPENCER,24-02-1900,Europe
11309,JULIA,06-03-1900,Asia
11310,JULIA,25-02-1900,North America
11311,SEAN,17-03-1900,Europe
11312,MICAH,23-01-1900,Asia
11313,HUNTER,17-03-1900,North America
11315,IAN,28-03-1900,Europe
11316,VICTORIA,14-02-1900,Asia
11317,ERIN,06-03-1900,North America
11318,GABRIELLE,06-03-1900,Europe
11319,SARA,17-03-1900,Asia
11320,TREVOR,28-03-1900,North America
11321,HAILEY,14-02-1900,Europe
11322,LUKE,06-03-1900,Asia
11323,VICTORIA,06-03-1900,North America
11324,JESSICA,23-01-1900,Europe
11325,JADE,24-01-1900,Asia
11326,MORGAN,25-02-1900,North America
11327,TERRANCE,28-03-1900,Europe
11328,SYDNEY,02-02-1900,Asia
11329,JOSE,14-02-1900,North America
11330,ZACHARY,22-01-1900,Europe
11331,ELIJAH,23-01-1900,Asia
11332,RAFAEL,24-01-1900,North America
11333,JAIME,13-02-1900,Europe
11334,JULIAN,24-02-1900,Asia
11335,ANDY,06-03-1900,North America
11336,RYAN,25-02-1900,Europe
11337,SAMANTHA,17-03-1900,Asia
11338,DEANNA,23-01-1900,North America
11339,EMILY,17-03-1900,Europe
11340,NICOLE,28-03-1900,Asia
11341,CARLA,14-02-1900,North America
11342,SHAUN,06-03-1900,Europe
11343,JEROME,06-03-1900,Asia
11344,FRANK,17-03-1900,North America
11345,DENNIS,28-03-1900,Europe
11346,MELODY,14-02-1900,Asia
11347,RANDY,06-03-1900,North America
11348,MARSHALL,06-03-1900,Europe
11349,ARTHUR,23-01-1900,Asia
11350,JESSIE,24-01-1900,North America
11351,ROBIN,25-02-1900,Europe
11352,DEANNA,28-03-1900,Asia
11353,ROY,02-02-1900,North America
11354,SHAWN,14-02-1900,Europe
11355,MINDY,22-01-1900,Asia
11356,CARA,23-01-1900,North America
11357,ANNE,24-01-1900,Europe
11358,RAYMOND,13-02-1900,Asia
11359,CARRIE,24-02-1900,North America
11360,DEANNA,06-03-1900,Europe
11361,ROBERTO,25-02-1900,Asia
11362,TERRENCE,17-03-1900,North America
11363,RAMON,23-01-1900,Europe
11365,CYNTHIA,17-03-1900,Asia
11366,JARROD,28-03-1900,North America
11367,TYRONE,14-02-1900,Europe
11368,CINDY,06-03-1900,Asia
11369,DAMIEN,06-03-1900,North America
11370,JULIAN,17-03-1900,Europe
11371,BRITTNEY,28-03-1900,Asia
11372,VIRGINIA,14-02-1900,North America
11373,CALVIN,06-03-1900,Europe
11374,EDWARD,06-03-1900,Asia
11375,ASHLEE,23-01-1900,North America
11376,ALICIA,24-01-1900,Europe
11377,LACEY,25-02-1900,Asia
11378,WENDY,28-03-1900,North America
11379,CARLY,02-02-1900,Europe
11380,JIMMY,14-02-1900,Asia
11381,FRANCISCO,22-01-1900,North America
11382,LANCE,23-01-1900,Europe
11384,DAVID,24-01-1900,Asia
11385,SHANNON,13-02-1900,North America
11387,GARY,24-02-1900,Europe
11388,MITCHELL,06-03-1900,Asia
11389,MEREDITH,25-02-1900,North America
11390,EDWARD,17-03-1900,Europe
11391,TIFFANY,23-01-1900,Asia
11392,MIGUEL,17-03-1900,North America
11393,MEGAN,28-03-1900,Europe
11394,JOSEPH,14-02-1900,Asia
11395,KARL,06-03-1900,North America
11396,CHRISTINE,06-03-1900,Europe
11397,LINDSAY,17-03-1900,Asia
11398,WILLIE,28-03-1900,North America
11399,KURT,14-02-1900,Europe
